Date,KOSPI200,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
2024/09/27,353.93,-2.51,-0.70,356.93,358.71,353.93,"138,011","9,458,827","1,903,422,343"
2024/09/26,356.44,11.88,3.45,350.68,356.44,350.44,"139,542","10,265,319","1,920,138,987"
2024/09/25,344.56,-5.05,-1.44,352.51,354.09,344.56,"156,600","9,879,019","1,863,519,756"
2024/09/24,349.61,3.83,1.11,347.19,349.61,344.75,"122,751","8,963,484","1,889,818,953"
2024/09/23,345.78,1.11,0.32,345.01,346.14,343.67,"116,062","7,785,096","1,867,137,908"
2024/09/20,344.67,1.39,0.40,346.77,348.89,344.54,"171,811","12,128,787","1,860,814,391"
2024/09/19,343.28,-0.41,-0.12,345.58,346.24,338.56,"154,544","11,266,533","1,852,416,216"
2024/09/13,343.69,-0.16,-0.05,343.47,345.27,342.05,"104,055","7,054,890","1,848,722,943"
2024/09/12,343.85,8.20,2.44,340.94,343.85,339.23,"144,257","9,758,620","1,847,061,229"
2024/09/11,335.65,-2.83,-0.84,338.08,338.32,332.72,"124,649","8,217,056","1,804,148,927"
2024/09/10,338.48,-1.70,-0.50,340.68,341.50,338.15,"104,431","7,129,982","1,812,345,004"
2024/09/09,340.18,-2.19,-0.64,335.79,341.44,334.57,"99,146","6,416,485","1,821,147,540"
2024/09/06,342.37,-3.55,-1.03,346.14,346.25,340.08,"107,604","7,027,056","1,829,130,235"
2024/09/05,345.92,-0.74,-0.21,348.96,351.36,344.09,"139,085","8,533,687","1,850,833,860"
2024/09/04,346.66,-12.14,-3.38,348.19,351.04,346.30,"138,921","9,303,133","1,854,802,095"
2024/09/03,358.80,-3.29,-0.91,362.00,363.87,358.80,"105,622","7,428,807","1,916,168,295"
2024/09/02,362.09,0.54,0.15,362.57,363.10,358.39,"100,649","7,427,392","1,929,487,244"
2024/08/30,361.55,1.45,0.40,362.21,363.55,361.11,"135,280","9,026,178","1,923,905,772"
2024/08/29,360.10,-5.18,-1.42,359.58,361.59,358.23,"121,370","9,841,461","1,915,661,283"
2024/08/28,365.28,0.72,0.20,364.76,365.40,362.06,"119,870","9,326,131","1,935,631,589"
2024/08/27,364.56,-1.75,-0.48,365.94,366.35,363.62,"95,285","6,637,580","1,933,994,499"
2024/08/26,366.31,-1.60,-0.43,370.01,370.36,365.26,"114,476","7,513,277","1,940,567,708"
2024/08/23,367.91,-1.19,-0.32,366.78,369.79,366.40,"96,374","6,825,084","1,943,420,793"
2024/08/22,369.10,0.88,0.24,369.71,369.81,366.64,"103,891","6,929,622","1,948,491,454"
2024/08/21,368.22,-0.77,-0.21,367.09,369.02,366.53,"107,344","7,362,605","1,941,986,723"
2024/08/20,368.99,3.47,0.95,369.39,370.67,367.64,"105,935","6,484,602","1,938,007,528"
2024/08/19,365.52,-3.59,-0.97,369.09,369.13,364.01,"106,594","6,557,591","1,923,201,685"
2024/08/16,369.11,8.72,2.42,368.35,369.36,366.27,"125,765","8,830,741","1,940,789,180"
2024/08/14,360.39,3.37,0.94,361.11,362.07,358.88,"103,713","6,793,451","1,900,376,921"
2024/08/13,357.02,1.41,0.40,356.97,358.69,354.70,"110,037","6,943,757","1,883,677,542"
2024/08/12,355.61,4.09,1.16,353.64,356.60,353.25,"98,129","6,045,279","1,879,436,225"
2024/08/09,351.52,4.82,1.39,353.82,353.86,349.73,"125,052","7,625,980","1,858,058,755"
2024/08/08,346.70,-2.39,-0.68,343.26,348.89,341.56,"159,523","9,311,413","1,836,225,570"
2024/08/07,349.09,7.36,2.15,340.91,352.72,340.08,"159,269","10,983,731","1,845,417,167"
2024/08/06,341.73,9.87,2.97,345.63,350.72,338.20,"205,544","12,965,268","1,812,053,033"
2024/08/05,331.86,-33.31,-9.12,355.28,355.28,324.52,"263,543","15,471,730","1,755,377,114"
2024/08/02,365.17,-15.37,-4.04,371.76,372.84,363.89,"155,244","10,438,095","1,923,793,445"
2024/08/01,380.54,0.05,0.01,383.68,384.54,380.47,"123,739","8,520,520","1,992,397,715"
2024/07/31,380.49,5.62,1.50,376.01,380.49,374.01,"151,711","9,578,593","1,988,905,993"
2024/07/30,374.87,-3.86,-1.02,375.39,376.47,373.54,"139,029","7,818,584","1,964,294,595"
2024/07/29,378.73,4.53,1.21,376.85,380.44,375.87,"146,379","8,515,529","1,983,634,646"
2024/07/26,374.20,2.94,0.79,373.44,375.19,371.74,"195,050","10,870,094","1,959,133,580"
2024/07/25,371.26,-7.40,-1.95,372.91,374.00,370.53,"156,498","11,764,005","1,944,521,825"
2024/07/24,378.66,-2.99,-0.78,378.58,381.95,377.38,"137,359","8,965,386","1,979,252,742"
2024/07/23,381.65,1.81,0.48,383.80,384.91,380.40,"151,505","9,597,079","1,991,356,973"
2024/07/22,379.84,-4.05,-1.05,383.44,384.25,378.06,"127,340","8,439,947","1,983,499,218"
2024/07/19,383.89,-5.11,-1.31,385.02,385.71,381.21,"127,880","7,830,651","2,006,532,502"
2024/07/18,389.00,-2.55,-0.65,385.24,389.00,384.53,"269,874","12,951,586","2,027,905,440"
2024/07/17,391.55,-3.76,-0.95,394.93,395.48,391.22,"197,253","10,848,925","2,041,260,802"
2024/07/16,395.31,1.47,0.37,393.80,396.18,393.20,"164,805","9,826,177","2,058,485,503"
2024/07/15,393.84,1.55,0.40,394.09,395.39,391.39,"165,532","9,887,734","2,054,157,834"
2024/07/12,392.29,-6.23,-1.56,394.49,395.23,390.43,"174,145","11,686,775","2,051,763,799"
2024/07/11,398.52,2.92,0.74,398.82,400.31,396.69,"163,312","10,755,930","2,082,846,954"
2024/07/10,395.60,-0.19,-0.05,395.01,396.08,394.02,"131,879","8,785,313","2,064,290,039"
2024/07/09,395.79,1.32,0.33,396.59,396.92,393.31,"148,083","8,834,418","2,064,673,739"
2024/07/08,394.47,-1.00,-0.25,395.62,396.90,394.02,"127,694","7,982,328","2,057,283,587"
2024/07/05,395.47,6.94,1.79,390.51,396.42,390.49,"153,441","11,201,174","2,062,531,380"
2024/07/04,388.53,5.30,1.38,386.82,388.53,385.91,"148,763","11,023,620","2,032,384,509"
2024/07/03,383.23,2.03,0.53,383.18,383.48,379.89,"122,483","8,055,663","2,008,122,214"
2024/07/02,381.20,-3.14,-0.82,383.33,384.66,380.74,"133,140","8,796,062","1,996,564,796"
2024/07/01,384.34,0.32,0.08,383.10,384.75,382.07,"110,257","7,007,005","2,012,934,954"
2024/06/28,384.02,1.75,0.46,383.50,384.02,381.49,"122,282","7,503,380","2,006,521,720"
2024/06/27,382.27,-0.74,-0.19,378.98,382.27,378.06,"125,574","7,798,424","1,996,892,171"
2024/06/26,383.01,3.16,0.83,378.52,383.06,377.87,"125,396","8,196,613","2,001,900,580"
2024/06/25,379.85,1.46,0.39,378.12,380.94,378.12,"132,673","8,304,113","1,988,290,356"
2024/06/24,378.39,-2.49,-0.65,378.92,380.47,377.15,"126,699","8,064,458","1,981,525,424"
2024/06/21,380.88,-3.90,-1.01,382.37,382.92,379.65,"175,208","11,252,244","1,995,624,929"
2024/06/20,384.78,1.77,0.46,383.86,385.76,382.66,"147,360","9,517,283","2,013,714,419"
2024/06/19,383.01,5.28,1.40,381.28,383.72,381.21,"168,566","10,940,027","2,007,092,159"
2024/06/18,377.73,3.87,1.04,377.07,378.72,376.12,"158,166","9,655,602","1,979,072,290"
2024/06/17,373.86,-2.14,-0.57,375.42,376.57,373.32,"130,798","8,966,752","1,964,428,574"
2024/06/14,376.00,1.25,0.33,375.76,377.68,374.50,"173,199","12,374,670","1,975,219,073"
2024/06/13,374.75,3.63,0.98,376.93,378.81,374.65,"249,137","14,269,700","1,944,948,136"
2024/06/12,371.12,3.41,0.93,368.43,371.71,367.90,"134,892","8,089,315","1,926,513,487"
2024/06/11,367.71,0.25,0.07,369.61,369.90,367.15,"127,514","8,173,506","1,911,201,005"
2024/06/10,367.46,-3.93,-1.06,367.76,370.35,366.35,"116,151","8,421,500","1,907,393,285"
2024/06/07,371.39,4.95,1.35,370.80,372.81,368.57,"126,620","8,603,511","1,926,505,938"
2024/06/05,366.44,3.92,1.08,365.64,367.76,363.39,"152,838","9,075,110","1,900,385,169"
2024/06/04,362.52,-2.96,-0.81,363.37,365.07,362.23,"169,152","8,564,424","1,879,727,359"
2024/06/03,365.48,7.27,2.03,361.66,367.01,361.61,"174,455","9,658,270","1,894,900,672"
2024/05/31,358.21,-0.49,-0.14,362.02,362.81,358.12,"234,124","12,905,312","1,858,757,118"
2024/05/30,358.70,-6.26,-1.72,363.33,363.51,358.70,"124,276","7,776,925","1,859,101,386"
2024/05/29,364.96,-6.37,-1.72,371.04,371.53,364.96,"151,671","9,558,295","1,890,601,586"
2024/05/28,371.33,0.17,0.05,369.71,372.34,369.58,"144,572","7,863,835","1,924,963,708"
2024/05/27,371.16,5.08,1.39,366.98,371.86,366.29,"216,890","11,520,277","1,926,630,105"
2024/05/24,366.08,-5.54,-1.49,367.35,367.69,365.27,"127,064","8,179,934","1,899,714,874"
2024/05/23,371.62,0.21,0.06,370.85,373.72,368.90,"136,077","8,191,622","1,926,413,626"
2024/05/22,371.41,-0.14,-0.04,371.14,372.69,368.72,"139,386","8,226,728","1,926,794,486"
2024/05/21,371.55,-2.13,-0.57,372.39,373.07,370.90,"119,552","6,813,930","1,927,921,635"
2024/05/20,373.68,3.10,0.84,373.20,375.70,372.22,"154,406","8,320,813","1,941,625,700"
2024/05/17,370.58,-4.02,-1.07,374.43,374.69,370.46,"123,112","7,065,409","1,927,816,820"
2024/05/16,374.60,3.56,0.96,377.33,378.05,373.93,"182,170","8,846,987","1,948,915,223"
2024/05/14,371.04,0.05,0.01,371.69,372.12,369.90,"124,260","5,959,609","1,932,787,958"
2024/05/13,370.99,-0.09,-0.02,372.10,373.04,368.79,"204,946","8,200,300","1,931,524,633"
2024/05/10,371.08,2.25,0.61,372.73,373.80,370.41,"141,852","7,030,225","1,932,580,373"
2024/05/09,368.83,-5.26,-1.41,373.70,374.46,368.76,"146,397","7,341,228","1,923,701,810"
2024/05/08,374.09,1.29,0.35,372.32,374.12,371.58,"126,970","5,714,688","1,948,829,358"
2024/05/07,372.80,9.22,2.54,370.06,372.80,369.85,"157,573","8,291,262","1,941,547,429"
2024/05/03,363.58,-0.73,-0.20,367.57,367.91,363.58,"90,444","5,565,774","1,898,058,926"
2024/05/02,364.31,-0.82,-0.22,363.37,365.69,363.37,"107,165","6,700,713","1,902,625,200"
2024/04/30,365.13,0.65,0.18,365.17,367.94,364.20,"130,227","7,931,297","1,908,251,865"
2024/04/29,364.48,3.46,0.96,363.71,364.73,362.13,"145,791","7,614,802","1,904,676,779"
2024/04/26,361.02,4.51,1.27,360.18,362.08,358.98,"154,221","7,719,229","1,883,082,131"
2024/04/25,356.51,-7.09,-1.95,359.05,360.57,356.51,"107,773","6,821,042","1,862,232,426"
2024/04/24,363.60,7.62,2.14,361.66,364.07,361.34,"115,524","7,652,152","1,898,328,540"
2024/04/23,355.98,-0.91,-0.25,357.56,358.83,355.86,"131,149","7,992,607","1,860,870,931"
2024/04/22,356.89,4.31,1.22,355.68,357.48,353.72,"152,400","8,772,676","1,866,706,880"
2024/04/19,352.58,-6.48,-1.80,353.90,355.37,347.12,"163,740","9,830,994","1,837,604,001"
2024/04/18,359.06,6.27,1.78,354.25,360.33,353.48,"155,192","7,954,205","1,869,305,190"
2024/04/17,352.79,-3.88,-1.09,358.21,359.11,352.79,"108,346","7,069,096","1,833,536,000"
2024/04/16,356.67,-8.64,-2.37,361.51,362.05,355.20,"137,545","8,637,745","1,853,454,786"
2024/04/15,365.31,-1.94,-0.53,364.28,365.74,361.01,"122,918","7,405,446","1,897,073,947"
2024/04/12,367.25,-3.47,-0.94,371.20,371.43,366.48,"163,654","8,324,438","1,904,615,658"
2024/04/11,370.72,0.45,0.12,364.53,372.49,364.18,"147,049","8,985,039","1,925,187,558"
2024/04/09,370.27,-2.24,-0.60,374.66,375.47,369.96,"124,592","7,229,744","1,924,736,185"
2024/04/08,372.51,0.94,0.25,372.62,373.96,371.60,"117,623","7,527,916","1,935,161,778"
2024/04/05,371.57,-4.04,-1.08,371.51,374.13,370.20,"160,477","7,975,638","1,931,004,529"
2024/04/04,375.61,5.89,1.59,374.45,376.20,373.39,"129,761","8,461,305","1,950,935,488"
2024/04/03,369.72,-6.62,-1.76,373.09,373.63,369.72,"155,081","9,888,594","1,923,797,810"
2024/04/02,376.34,2.06,0.55,374.16,377.29,373.44,"149,554","9,870,227","1,959,105,676"
2024/04/01,374.28,-0.35,-0.09,377.66,378.29,374.19,"117,501","7,185,068","1,953,170,867"
2024/03/29,374.63,1.41,0.38,375.04,375.56,372.77,"136,759","8,033,439","1,954,322,152"
2024/03/28,373.22,-0.86,-0.23,373.78,374.80,372.23,"134,092","7,971,152","1,952,243,382"
2024/03/27,374.08,-0.52,-0.14,372.58,375.33,372.48,"147,627","8,740,385","1,960,464,455"
2024/03/26,374.60,3.87,1.04,373.77,377.83,373.18,"135,107","9,108,709","1,962,684,684"
2024/03/25,370.73,-1.92,-0.52,373.69,375.23,369.77,"118,921","7,113,481","1,947,249,604"
2024/03/22,372.65,-1.01,-0.27,373.27,375.10,370.71,"138,509","8,682,217","1,955,787,349"
2024/03/21,373.66,10.34,2.85,369.97,373.82,368.82,"154,726","10,714,919","1,961,432,071"
2024/03/20,363.32,5.99,1.68,361.07,363.58,359.93,"147,686","9,751,062","1,911,887,851"
2024/03/19,357.33,-3.98,-1.10,359.03,359.07,355.51,"147,010","7,523,909","1,885,476,572"
2024/03/18,361.31,1.92,0.53,360.74,361.77,358.53,"120,544","6,576,183","1,907,697,549"
2024/03/15,359.39,-7.29,-1.99,364.12,364.67,359.39,"201,924","10,248,952","1,894,690,743"
2024/03/14,366.68,3.64,1.00,363.85,366.68,363.50,"266,383","11,326,084","1,926,140,079"
2024/03/13,363.04,1.93,0.53,363.15,364.43,361.26,"133,917","7,742,197","1,906,789,890"
2024/03/12,361.11,2.77,0.77,359.95,362.00,357.88,"125,853","7,218,310","1,899,495,939"
2024/03/11,358.34,-3.37,-0.93,359.31,360.94,358.20,"120,789","6,521,311","1,882,793,517"
2024/03/08,361.71,4.89,1.37,360.87,362.72,360.01,"117,520","8,377,419","1,898,934,521"
2024/03/07,356.82,0.57,0.16,357.80,358.61,354.96,"120,270","7,917,130","1,873,786,680"
2024/03/06,356.25,-1.34,-0.37,356.01,357.25,354.52,"123,866","7,975,202","1,867,657,967"
2024/03/05,357.59,-3.51,-0.97,359.39,362.54,357.59,"134,877","8,919,738","1,874,968,600"
2024/03/04,361.10,5.53,1.56,358.99,361.98,358.48,"152,490","9,205,465","1,894,002,335"
2024/02/29,355.57,-1.22,-0.34,355.38,356.46,353.29,"187,600","10,471,393","1,870,993,923"
2024/02/28,356.79,4.03,1.14,353.06,357.51,352.31,"127,224","7,221,196","1,878,056,888"
2024/02/27,352.76,-2.72,-0.77,356.39,356.42,352.02,"137,864","8,051,586","1,857,890,414"
2024/02/26,355.48,-3.09,-0.86,356.75,357.14,352.91,"140,519","7,685,196","1,873,222,756"
2024/02/23,358.57,0.90,0.25,360.40,362.72,358.18,"133,370","8,111,795","1,888,551,166"
2024/02/22,357.67,1.63,0.46,358.87,358.97,355.86,"128,282","7,813,550","1,884,845,351"
2024/02/21,356.04,-0.88,-0.25,357.07,358.81,354.69,"109,116","6,403,253","1,877,082,219"
2024/02/20,356.92,-3.96,-1.10,359.53,359.92,355.07,"119,319","7,227,527","1,879,270,182"
2024/02/19,360.88,5.36,1.51,356.40,361.32,356.40,"139,812","7,604,141","1,897,276,175"
2024/02/16,355.52,4.31,1.23,354.19,355.58,352.17,"121,461","7,247,898","1,873,301,898"
2024/02/15,351.21,-1.48,-0.42,355.83,356.02,351.21,"121,342","7,625,383","1,847,421,106"
2024/02/14,352.69,-4.69,-1.31,351.52,353.77,350.62,"120,508","6,871,845","1,852,165,729"
2024/02/13,357.38,4.09,1.16,356.85,358.68,356.10,"156,044","9,641,036","1,875,553,827"
2024/02/08,353.29,1.04,0.30,353.44,354.96,352.00,"192,010","9,205,597","1,854,526,227"
2024/02/07,352.25,4.45,1.28,349.80,354.71,348.96,"246,755","8,943,338","1,848,033,122"
2024/02/06,347.80,-1.35,-0.39,348.23,350.43,345.52,"132,642","7,671,998","1,823,493,061"
2024/02/05,349.15,-4.28,-1.21,352.70,352.96,344.95,"189,505","10,098,040","1,834,391,925"
2024/02/02,353.43,11.02,3.22,345.10,353.44,344.94,"212,399","11,413,169","1,853,918,000"
2024/02/01,342.41,6.17,1.83,335.89,342.48,335.89,"243,069","10,373,116","1,798,877,625"
2024/01/31,336.24,-1.24,-0.37,335.50,337.20,335.15,"126,918","6,810,309","1,766,486,802"
2024/01/30,337.48,-0.36,-0.11,340.96,341.62,337.08,"128,282","6,512,150","1,767,075,649"
2024/01/29,337.84,3.63,1.09,335.68,340.51,334.66,"114,357","6,649,546","1,768,434,883"
2024/01/26,334.21,0.41,0.12,331.99,337.67,331.28,"86,543","5,279,004","1,750,683,609"
2024/01/25,333.80,0.53,0.16,333.20,334.19,331.37,"101,107","5,982,910","1,745,542,773"
2024/01/24,333.27,-1.70,-0.51,334.45,334.66,331.01,"100,934","5,121,258","1,745,146,253"
2024/01/23,334.97,2.34,0.70,334.87,335.12,332.23,"95,068","5,396,094","1,751,642,451"
2024/01/22,332.63,-0.36,-0.11,335.76,336.15,332.63,"92,552","6,073,842","1,739,948,110"
2024/01/19,332.99,5.86,1.79,331.60,333.27,330.63,"102,425","6,533,343","1,745,629,206"
2024/01/18,327.13,1.02,0.31,326.88,328.78,325.10,"98,179","5,762,696","1,720,554,600"
2024/01/17,326.11,-8.62,-2.58,335.51,336.06,326.06,"134,916","7,402,514","1,718,102,722"
2024/01/16,334.73,-4.51,-1.33,337.76,338.74,334.22,"94,324","5,907,582","1,763,396,604"
2024/01/15,339.24,1.02,0.30,338.61,340.54,337.66,"86,541","5,149,924","1,784,147,865"
2024/01/12,338.22,-2.06,-0.61,339.79,341.05,337.22,"86,833","5,165,402","1,782,952,354"
2024/01/11,340.28,-0.38,-0.11,340.32,342.79,339.93,"163,529","10,830,682","1,778,095,085"
2024/01/10,340.66,-3.15,-0.92,344.21,345.06,340.26,"95,490","6,219,055","1,780,123,487"
2024/01/09,343.81,-1.77,-0.51,350.01,350.20,343.00,"94,876","6,030,735","1,795,007,820"
2024/01/08,345.58,-1.64,-0.47,348.17,349.39,345.48,"78,230","4,963,637","1,801,185,826"
2024/01/05,347.22,-0.85,-0.24,348.22,348.87,346.32,"82,153","5,723,729","1,809,009,724"
2024/01/04,348.07,-3.13,-0.89,349.10,350.76,347.13,"103,141","5,817,672","1,814,393,097"
2024/01/03,351.20,-9.35,-2.59,356.74,356.82,351.20,"117,690","7,242,146","1,828,846,321"
2024/01/02,360.55,2.56,0.72,356.43,361.53,355.96,"106,709","7,230,435","1,875,294,390"
2023/12/28,357.99,5.53,1.57,352.75,357.99,352.01,"108,348","7,011,015","1,865,396,197"
2023/12/27,352.46,2.03,0.58,350.05,352.46,348.93,"129,882","7,877,755","1,835,622,945"
2023/12/26,350.43,1.28,0.37,350.57,351.16,349.00,"109,353","5,670,002","1,826,855,963"
