Date,환율,시가,고가,저가,거래량,변동 %
2024-09-27,1315,1314,1323,1314,,0.14%
2024-09-26,1313,1336,1337,1313,,-1.56%
2024-09-25,1334,1326,1339,1323,,0.63%
2024-09-24,1325,1334,1339,1325,,-0.63%
2024-09-23,1334,1333,1340,1332,,0.15%
2024-09-20,1332,1329,1338,1327,,0.36%
2024-09-19,1327,1323,1337,1324,,0.59%
2024-09-18,1319,1322,1328,1317,,0.04%
2024-09-17,1319,1321,1322,1315,,-0.14%
2024-09-16,1320,1330,1331,1317,,-0.58%
2024-09-13,1328,1337,1339,1325,,-0.55%
2024-09-12,1336,1340,1344,1336,,-0.26%
2024-09-11,1339,1344,1346,1337,,-0.31%
2024-09-10,1343,1343,1346,1340,,0.12%
2024-09-09,1342,1339,1349,1337,,0.33%
2024-09-06,1337,1334,1341,1325,,0.32%
2024-09-05,1333,1335,1339,1331,,-0.02%
2024-09-04,1333,1341,1345,1333,,-0.44%
2024-09-03,1339,1338,1345,1336,,0.14%
2024-09-02,1337,1338,1342,1336,,0.07%
2024-08-30,1337,1334,1339,1332,,0.25%
2024-08-29,1333,1337,1339,1327,,-0.21%
2024-08-28,1336,1327,1340,1327,,0.77%
2024-08-27,1326,1329,1336,1327,,-0.13%
2024-08-26,1327,1325,1330,1318,,0.31%
2024-08-23,1323,1343,1344,1323,,-1.33%
2024-08-22,1341,1334,1344,1331,,0.64%
2024-08-21,1333,1329,1341,1326,,0.39%
2024-08-20,1328,1332,1337,1324,,-0.31%
2024-08-19,1332,1350,1351,1330,,-1.29%
2024-08-16,1349,1365,1367,1349,,-1.11%
2024-08-15,1364,1358,1367,1355,,0.61%
2024-08-14,1356,1363,1365,1353,,-0.40%
2024-08-13,1361,1370,1374,1362,,-0.55%
2024-08-12,1369,1365,1374,1363,,0.34%
2024-08-09,1364,1374,1378,1361,,-0.67%
2024-08-08,1373,1376,1380,1374,,-0.08%
2024-08-07,1374,1376,1380,1373,,0.00%
2024-08-06,1375,1368,1380,1366,,0.59%
2024-08-05,1366,1358,1374,1354,,0.72%
2024-08-02,1357,1370,1379,1357,,-0.91%
2024-08-01,1369,1369,1372,1361,,0.00%
2024-07-31,1369,1384,1387,1367,,-0.99%
2024-07-30,1383,1382,1387,1379,,0.16%
2024-07-29,1381,1385,1387,1380,,-0.23%
2024-07-26,1384,1384,1389,1381,,0.11%
2024-07-25,1382,1384,1389,1379,,0.00%
2024-07-24,1382,1386,1389,1379,,-0.17%
2024-07-23,1385,1388,1389,1382,,-0.17%
2024-07-22,1387,1390,1391,1387,,-0.13%
2024-07-19,1389,1386,1392,1384,,0.31%
2024-07-18,1384,1380,1387,1376,,0.43%
2024-07-17,1379,1384,1385,1375,,-0.31%
2024-07-16,1383,1385,1388,1382,,-0.10%
2024-07-15,1384,1375,1386,1374,,0.76%
2024-07-12,1374,1372,1380,1370,,0.20%
2024-07-11,1371,1384,1385,1370,,-0.86%
2024-07-10,1383,1384,1388,1382,,-0.01%
2024-07-09,1383,1384,1387,1381,,-0.03%
2024-07-08,1383,1378,1386,1376,,0.49%
2024-07-05,1377,1380,1384,1376,,-0.26%
2024-07-04,1380,1388,1388,1379,,-0.47%
2024-07-03,1387,1387,1393,1382,,0.06%
2024-07-02,1386,1384,1391,1382,,0.26%
2024-07-01,1383,1381,1386,1377,,0.13%
2024-06-28,1381,1388,1390,1375,,-0.41%
