Date,기관 합계,기타법인,개인,외국인 합계,전체
2024/09/27,1106122,228271,2927084,1592691,0
2024/09/26,4782001,34154,1089991,3726164,0
2024/09/25,3172763,198047,5389240,8760050,0
2024/09/24,2828093,40895,4710430,7579418,0
2024/09/23,1860477,44424,8197566,10102467,0
2024/09/20,1239652,577,5046717,6285792,0
2024/09/19,5359556,110633,9125117,14595306,0
2024/09/13,492192,1245708,10383580,12121480,0
2024/09/12,893581,621581,4930516,5202516,0
2024/09/11,608807,1137335,13419882,13948410,0
2024/09/10,1283398,192317,9884492,8793411,0
2024/09/09,805258,208602,6334447,5737791,0
2024/09/06,403539,55412,2762589,2414462,0
2024/09/05,367199,204032,8854446,8691279,0
2024/09/04,4032669,362592,11021335,7351258,0
2024/09/03,1679852,159597,7317166,5796911,0
2024/09/02,2373353,65657,454317,1853379,0
2024/08/30,1361771,54101,1102175,2518047,0
2024/08/29,2181014,218943,6473646,4511575,0
2024/08/28,533263,30733,899268,1463264,0
2024/08/27,304677,62697,1076022,1443396,0
2024/08/26,584334,79418,3064191,3727943,0
2024/08/23,746795,53426,465956,1159325,0
2024/08/22,452139,11612,152259,311492,0
2024/08/21,177643,57676,200013,80046,0
2024/08/20,141999,2576,783354,922777,0
2024/08/19,339031,69950,1735237,1466156,0
2024/08/16,918078,118355,7324889,6525166,0
2024/08/14,230603,340099,2154441,2044945,0
2024/08/13,202595,72726,1579019,1854340,0
2024/08/12,112759,48866,539380,475487,0
2024/08/09,21816,241749,782035,562102,0
2024/08/08,3828398,114338,6991766,3277706,0
2024/08/07,2123457,154060,886745,1082652,0
2024/08/06,7018788,530703,9026910,2538825,0
2024/08/05,2439089,697775,18267252,16525938,0
2024/08/02,3138554,231397,6513979,3606822,0
2024/08/01,1061536,207725,523713,330098,0
2024/07/31,958338,65980,2565088,1672730,0
2024/07/30,1379203,54343,1639314,314454,0
2024/07/29,554806,108737,394495,51574,0
2024/07/26,719026,29399,1033805,1782230,0
2024/07/25,1877734,19079,1666096,192559,0
2024/07/24,492483,67591,3046740,2621848,0
2024/07/23,1694295,182288,599441,2476024,0
2024/07/22,242867,310416,920570,367287,0
2024/07/19,1750534,135828,4818670,2932308,0
2024/07/18,1853095,457083,468174,927838,0
2024/07/17,306635,278620,375119,403134,0
2024/07/16,645166,11312,2666412,2032558,0
2024/07/15,4178194,199698,3256286,722210,0
2024/07/12,154761,50648,3422748,3628157,0
2024/07/11,1171760,30298,1142679,2344737,0
2024/07/10,1447489,56221,1964870,3468580,0
2024/07/09,3751,288443,4061206,3776514,0
2024/07/08,1128290,19995,2766941,3915226,0
2024/07/05,6809451,463647,20029986,13684182,0
2024/07/04,6993695,260560,14641813,7908678,0
2024/07/03,366480,24877,346008,45349,0
2024/07/02,1172626,19810,1004292,2196728,0
2024/07/01,442996,31210,1437968,1026182,0
2024/06/28,201888,76486,683501,961875,0
2024/06/27,3472885,32513,1362688,4868086,0
2024/06/26,793488,36222,539621,1296887,0
